id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,freetogame_profile_url,release_year
45,SoulWorker,https://www.freetogame.com/g/45/thumbnail.jpg,A free to play anime action MMO based on the popular anime of the same title.,https://www.freetogame.com/open/soulworker,MMORPG,PC (Windows),G・O・P,VALOFE,2018-02-27,https://www.freetogame.com/soulworker,2018
58,The Ultimatest Battle,https://www.freetogame.com/g/58/thumbnail.jpg,A free-to-play 2D platform game that pits two teams of players against each other in a variety of modes.,https://www.freetogame.com/open/the-ultimatest-battle,Fighting,PC (Windows),Ediogames,Ediogames,2017-09-12,https://www.freetogame.com/the-ultimatest-battle,2017
89,AdventureQuest 3D,https://www.freetogame.com/g/89/thumbnail.jpg,A free to play cross-platform MMORPG from the creators of the original 2D RPG game.,https://www.freetogame.com/open/adventurequest-3d,MMORPG,PC (Windows),Artix Entertainment,Artix Entertainment,2016-10-19,https://www.freetogame.com/adventurequest-3d,2016
119,Fantasy Tales Online,https://www.freetogame.com/g/119/thumbnail.jpg,"A free-to-play, retro MMO featuring puzzles, a rich crafting system and Randomly generated dungeons!",https://www.freetogame.com/open/fantasy-tales-online,MMORPG,PC (Windows),Cold Tea Studio,Cold Tea Studio,2016-05-06,https://www.freetogame.com/fantasy-tales-online,2016
124,Holodrive,https://www.freetogame.com/g/124/thumbnail.jpg,"A free-to-play 2D multiplayer shooter developed by BitCake Studio and published by Versus Evil in which players play as customizable robots or ""Dummys"".",https://www.freetogame.com/open/holodrive,Shooter,PC (Windows),Versus Evil,BitCake Studio,2016-03-24,https://www.freetogame.com/holodrive,2016
184,Blockade 3D,https://www.freetogame.com/g/184/thumbnail.jpg,A free to play FPS in an editable procedural world.,https://www.freetogame.com/open/blockade-3d,Shooter,PC (Windows),Shumkov Dmitriy,Shumkov Dmitriy,2014-11-05,https://www.freetogame.com/blockade-3d,2014
209,Freestyle2: Street Basketball,https://www.freetogame.com/g/209/thumbnail.jpg,A free to play MMO street basketball game. Team up with the best street ballers!,https://www.freetogame.com/open/freestyle2-street-basketball,Sports,PC (Windows),Joycity,Joycity,2014-06-20,https://www.freetogame.com/freestyle2-street-basketball,2014
271,Asda Global,https://www.freetogame.com/g/271/thumbnail.jpg,A 3D anime-inspired fantasy MMORPG and is the successor to the original Asda Story.,https://www.freetogame.com/open/asda-global,MMORPG,PC (Windows),GamenGame,Maxonsoft,2011-05-19,https://www.freetogame.com/asda-global,2011
355,Chronicles of Eidola,https://www.freetogame.com/g/355/thumbnail.jpg,A free-to-play 3D Browser RPG from AMZGame.,https://www.freetogame.com/open/chronicles-of-eidola,MMORPG,Web Browser,AMZ Games,AMZ Games,2017-04-10,https://www.freetogame.com/chronicles-of-eidola,2017
370,Dragon Blood,https://www.freetogame.com/g/370/thumbnail.jpg,"A free-to-play browser MMORPG from 101XP, you'll harness your unique power and the blood of dragons that flows through your veins!",https://www.freetogame.com/open/dragon-blood,MMORPG,Web Browser,101XP,101XP,2016-04-16,https://www.freetogame.com/dragon-blood,2016
437,Stay Out,https://www.freetogame.com/g/437/thumbnail.jpg,An MMORPG featuring urban exploration and shooter elements.,https://www.freetogame.com/open/stay-out,Shooter,PC (Windows),Mobile Technologies LLC,Mobile Technologies LLC,2019-11-27,https://www.freetogame.com/stay-out,2019
475,Genshin Impact,https://www.freetogame.com/g/475/thumbnail.jpg,"If you’ve been looking for a game to scratch that open-world action RPG itch, one with perhaps a bit of Asian flair, then you’re going to want to check out miHoYo’s Genshin Impact.",https://www.freetogame.com/open/genshin-impact,Action RPG,PC (Windows),miHoYo,miHoYo,2020-09-28,https://www.freetogame.com/genshin-impact,2020
