id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,freetogame_profile_url
89,AdventureQuest 3D,https://www.freetogame.com/g/89/thumbnail.jpg,A free to play cross-platform MMORPG from the creators of the original 2D RPG game.,https://www.freetogame.com/open/adventurequest-3d,MMORPG,PC (Windows),Artix Entertainment,Artix Entertainment,2016-10-19,https://www.freetogame.com/adventurequest-3d
91,Eternal,https://www.freetogame.com/g/91/thumbnail.jpg,"A strategy card game designed to take the best elements of Magic the Gathering, Hearthstone, and Hex and combine them all into one game.",https://www.freetogame.com/open/eternal,Card Game,PC (Windows),Dire Wolf Digital,Dire Wolf Digital,2018-11-15,https://www.freetogame.com/eternal
137,Metal War Online: Retribution,https://www.freetogame.com/g/137/thumbnail.jpg,A high-speed multiplayer online concept car shooter game with racing elements!,https://www.freetogame.com/open/metal-war-online,Shooter,PC (Windows),GDT Limited,GDT Limited,2015-12-11,https://www.freetogame.com/metal-war-online
179,Transformice,https://www.freetogame.com/g/179/thumbnail.jpg,A cute little free-to-play MMO platformer.,https://www.freetogame.com/open/transformice,Fantasy,"PC (Windows), Web Browser",Atelier 801,Atelier 801,2015-01-30,https://www.freetogame.com/transformice
182,Dungeon Defenders 2,https://www.freetogame.com/g/182/thumbnail.jpg,A free-to-play cooperative 3D tower-defense game by Trendy Entertainment.,https://www.freetogame.com/open/dungeon-defenders-2,Shooter,PC (Windows),Trendy Entertainment,Trendy Entertainment,2014-12-05,https://www.freetogame.com/dungeon-defenders-2
248,Continent of the Ninth Seal,https://www.freetogame.com/g/248/thumbnail.jpg,A free MMORPG where players take part as heroes of Glenheim to stand together against Nefer.,https://www.freetogame.com/open/c9,MMORPG,PC (Windows),Webzen,NHN Games (Acquired by Webzen),2012-09-13,https://www.freetogame.com/c9
254,AION,https://www.freetogame.com/g/254/thumbnail.jpg,"A high fantasy, free-to-play MMORPG that centers on the war between the game’s two factions: The Asmodians and the Elyos.",https://www.freetogame.com/open/aion,MMORPG,PC (Windows),NCSOFT,NCSOFT,2008-11-25,https://www.freetogame.com/aion
260,DC Universe Online,https://www.freetogame.com/g/260/thumbnail.jpg,"A free-to-play, comics based MMORPG set in the popular DC Comics universe.",https://www.freetogame.com/open/dcuo,MMORPG,PC (Windows),Daybreak Games,Daybreak Games,2011-01-11,https://www.freetogame.com/dcuo
299,Combat Arms: Reloaded,https://www.freetogame.com/g/299/thumbnail.jpg,A free to play modern first person shooter with lots of maps and weapons!,https://www.freetogame.com/open/combat-arms,Shooter,PC (Windows),"VALOFE, NEXON",Doobic Studios,2018-10-31,https://www.freetogame.com/combat-arms
301,Age of Conan: Unchained,https://www.freetogame.com/g/301/thumbnail.jpg,A award ­winning massively multiplayer online game that has received critical acclaim.,https://www.freetogame.com/open/age-of-conan,MMORPG,PC (Windows),Funcom,Funcom,2008-05-20,https://www.freetogame.com/age-of-conan
304,Cabal Online,https://www.freetogame.com/g/304/thumbnail.jpg,A free to play fast-paced skill-based MMORPG in a stunning world!,https://www.freetogame.com/open/cabal-online,MMORPG,PC (Windows),ESTsoft,ESTsoft,2016-02-17,https://www.freetogame.com/cabal-online
506,Totally Accurate Battlegrounds,https://www.freetogame.com/g/506/thumbnail.jpg,"Take 60 players, throw them on a map together with over 90 weapons, including balloon crossbows, pots and pans, and inflatable hammers, add physics-based parkour and you have Landfall’s Totally Accurate Battlegrounds (TABG).",https://www.freetogame.com/open/tabg,Shooter,PC (Windows),Landfall,Landfall,2018-06-06,https://www.freetogame.com/tabg
512,Sherwood Extreme,https://www.freetogame.com/g/512/thumbnail.jpg,High action arcade shooter Sherwood Extreme sends players on a mission to save the kingdom!,https://www.freetogame.com/open/sherwood-extreme,Shooter,PC (Windows),CAGE Studios,CAGE Studios,2021-05-12,https://www.freetogame.com/sherwood-extreme
524,Temperia: Soul of Majestic,https://www.freetogame.com/g/524/thumbnail.jpg,"Fans of collectible card games, are you looking for something a bit different from the normal fare? Then a peek at Moonwolf Entertainment and A2 Softworks’ Temperia: Soul of Majestic might be in order.",https://www.freetogame.com/open/temperia,Card Game,PC (Windows),Leonardo Interactive,"MoonWolf Entertainment, A2 Softworks",2022-07-26,https://www.freetogame.com/temperia
550,"Goose, Goose, DUCK",https://www.freetogame.com/g/550/thumbnail.jpg,A social deduction game with geese.,https://www.freetogame.com/open/goose-goose-duck,Strategy,PC (Windows),"Gaggle Studios, Inc.","Gaggle Studios, Inc.",2021-10-03,https://www.freetogame.com/goose-goose-duck
569,Destiny's Divide,https://www.freetogame.com/g/569/thumbnail.jpg,Free-to-play PvP Fantasy Card Game for competitive card game players.,https://www.freetogame.com/open/destinys-divide,Card Game,PC (Windows),Fobia,Fobia,2023-11-03,https://www.freetogame.com/destinys-divide
610,Splitgate: Arena Reloaded,https://www.freetogame.com/g/610/thumbnail.jpg,A free-to-play shooter using portals.,https://www.freetogame.com/open/splitgate-arena-reloaded,Shooter,PC (Windows),1047 Games,1047 Games,2025-05-22,https://www.freetogame.com/splitgate-arena-reloaded
619,Blade & Soul Heroes,https://www.freetogame.com/g/619/thumbnail.jpg,A free-to-play collectible action MMORPG set in the Blade & Soul universe.,https://www.freetogame.com/open/blade-soul-heroes,MMORPG,PC (Windows),NCSoft,NCSoft,2025-09-24,https://www.freetogame.com/blade-soul-heroes
629,Wuthering Waves,https://www.freetogame.com/g/629/thumbnail.jpg,A free-to-play action RPG with gacha elements.,https://www.freetogame.com/open/wuthering-waves,RPG,PC (Windows),Kuro Games,Kuro Games,2024-05-22,https://www.freetogame.com/wuthering-waves
648,Ragnarok: The New World,https://www.freetogame.com/g/648/thumbnail.jpg,An open-world entry in the Ragnarok IP.,https://www.freetogame.com/open/ragnarok-the-new-world,MMORPG,PC (Windows),Gravity Game Vision Limited,Gravity Game Vision Limited,2026-07-27,https://www.freetogame.com/ragnarok-the-new-world
